id_estado;estado;municipio;id_municipio;suma_votos_validos;suma_votos_nulos;suma_EG;suma_NM;suma_LM;suma_JABE;suma_JOBR;suma_AE;suma_CF;suma_DC;suma_EM;suma_BERA;total_otros_candidatos;porc_EG;porc_NM;porc_otros
08;Carabobo;valencia;0814;238726;21;174204;57637;1902;959;454;1490;289;254;506;1031;6885;72,97236162;24,14357883;2,884059549
09;Cojedes;autonomo tinaqui;0902;47115;1;30992;14734;468;94;127;267;111;43;142;137;1389;65,77947575;31,27241855;2,948105699
09;Cojedes;girardot;0903;5066;1;3138;1786;59;11;12;24;2;5;19;10;142;61,94236084;35,25463877;2,803000395
09;Cojedes;lima blanco;0904;7119;1;4657;2333;47;9;11;18;13;8;19;4;129;65,41649108;32,77145667;1,812052255
09;Cojedes;pao s j bautista;0905;7673;1;3808;3702;63;6;19;22;14;6;17;16;163;49,6285677;48,24710022;2,124332074
09;Cojedes;ricaurte;0906;8852;1;3952;4691;102;5;13;36;7;12;27;7;209;44,6452779;52,99367375;2,361048351
09;Cojedes;romulo gallegos;0907;11298;0;6657;4398;94;22;22;44;10;10;21;20;243;58,92193309;38,92724376;2,150823155
09;Cojedes;ezequiel zamora;0908;58140;6;38873;17963;462;82;108;240;74;46;161;131;1304;66,86102511;30,89611283;2,242862057
09;Cojedes;tinaco;0909;18629;0;11653;6498;167;49;46;75;34;21;54;32;478;62,55300875;34,88109936;2,565891889
09;Cojedes;anzoategui;0911;9718;0;5353;4137;89;16;21;45;8;12;27;10;228;55,08335048;42,57048775;2,346161762
07;Bolívar;caroni;1000;186694;32;134446;47453;1466;515;404;804;254;171;389;792;4795;72,01409794;25,41752815;2,568373917
10;Delta Amacuro;antonio diaz;1001;3586;2;830;2742;10;0;0;0;1;1;2;0;14;23,14556609;76,46402677;0,390407139
10;Delta Amacuro;casacoima;1002;9545;3;4651;4556;124;27;41;55;14;15;31;31;338;48,72708224;47,73179675;3,541121006
10;Delta Amacuro;pedernales;1003;2814;0;486;2295;19;3;2;4;1;2;2;0;33;17,27078891;81,5565032;1,172707889
10;Delta Amacuro;tucupita;1004;40328;5;24107;15204;462;76;67;97;48;35;152;80;1017;59,77732593;37,70085301;2,521821067
11;Falcón;acosta;1101;7521;3;5048;2276;74;11;21;37;12;9;19;14;197;67,11873421;30,26193325;2,619332536
11;Falcón;bolivar;1102;4656;0;2325;2256;42;2;9;5;2;3;7;5;75;49,93556701;48,45360825;1,610824742
11;Falcón;buchivacoa;1103;12771;1;9042;3454;118;17;22;51;10;18;28;11;275;70,80103359;27,0456503;2,153316107
11;Falcón;cacique manaure;1104;5758;1;4279;1370;56;5;9;7;5;3;15;9;109;74,31399792;23,79298367;1,893018409
11;Falcón;carirubana;1105;99283;11;74865;21903;742;191;200;481;112;102;259;428;2515;75,40565857;22,06117865;2,533162777
11;Falcón;colina;1106;16212;2;11564;4231;150;38;38;65;17;22;42;45;417;71,3298791;26,09795213;2,572168764
11;Falcón;dabajuro;1107;13821;1;11015;2594;88;17;19;35;9;14;23;7;212;79,69756168;18,76854063;1,533897692
11;Falcón;falcon;1109;25038;0;17304;7169;221;30;30;100;22;27;70;65;565;69,11095135;28,63247863;2,256570014
11;Falcón;federacion;1110;15548;4;10222;4984;156;11;28;44;16;20;45;22;342;65,74479033;32,05556985;2,199639825
11;Falcón;jacura;1111;6197;0;3871;2219;55;7;3;10;3;8;13;8;107;62,46570921;35,80764886;1,726641924
11;Falcón;los taques;1112;22444;0;16088;5813;161;36;60;95;20;28;38;105;543;71,68062734;25,90001782;2,419354839
11;Falcón;mauroa;1113;13893;3;10123;3473;141;21;29;34;14;13;30;15;297;72,86403225;24,99820053;2,137767221
11;Falcón;miranda;1114;91317;20;66848;22283;783;164;210;361;95;94;250;229;2186;73,20433216;24,40180908;2,393858756
11;Falcón;mons. iturriza;1115;9204;2;6113;2865;98;10;23;33;7;14;26;15;226;66,41677532;31,12777053;2,45545415
11;Falcón;palmasola;1116;3092;0;1385;1617;50;5;7;9;3;2;10;4;90;44,79301423;52,29624838;2,910737387
11;Falcón;petit;1117;6500;0;2854;3452;84;10;16;15;5;7;35;22;194;43,90769231;53,10769231;2,984615385
11;Falcón;piritu;1118;5295;0;3330;1836;54;4;8;20;5;7;21;10;129;62,88951841;34,67422096;2,436260623
11;Falcón;san francisco;1119;5656;2;3792;1763;51;3;7;14;3;6;15;2;101;67,04384724;31,17043847;1,785714286
11;Falcón;silva;1120;17633;2;12956;4389;99;15;30;58;8;13;35;30;288;73,47586911;24,89082969;1,633301197
11;Falcón;sucre;1121;3447;0;1841;1518;46;2;7;9;2;1;18;3;88;53,40876124;44,03829417;2,552944589
